date,store,product,qty,price,discount,revenue
2024-01-01,SG-East,Widget,23,20,0.05,437.0
2024-01-01,SG-East,Gadget,16,35,0.0,560.0
2024-01-01,SG-East,Doohickey,42,12,0.0,504.0
2024-01-01,SG-West,Widget,20,20,0.0,400.0
2024-01-01,SG-West,Gadget,13,35,0.0,455.0
2024-01-01,SG-West,Doohickey,36,12,0.0,432.0
2024-01-01,SG-North,Widget,22,20,0.0,440.0
2024-01-01,SG-North,Gadget,19,35,0.0,665.0
2024-01-01,SG-North,Doohickey,42,12,0.05,478.8
2024-01-02,SG-East,Widget,19,20,0.1,342.0
2024-01-02,SG-East,Gadget,13,35,0.05,432.25
2024-01-02,SG-East,Doohickey,39,12,0.0,468.0
2024-01-02,SG-West,Widget,21,20,0.0,420.0
2024-01-02,SG-West,Gadget,15,35,0.0,525.0
2024-01-02,SG-West,Doohickey,42,12,0.0,504.0
2024-01-02,SG-North,Widget,20,20,0.0,400.0
2024-01-02,SG-North,Gadget,14,35,0.1,441.0
2024-01-02,SG-North,Doohickey,37,12,0.0,444.0
2024-01-03,SG-East,Widget,19,20,0.0,380.0
2024-01-03,SG-East,Gadget,11,35,0.1,346.5
2024-01-03,SG-East,Doohickey,44,12,0.05,501.6
2024-01-03,SG-West,Widget,16,20,0.0,320.0
2024-01-03,SG-West,Gadget,20,35,0.0,700.0
2024-01-03,SG-West,Doohickey,28,12,0.0,336.0
2024-01-03,SG-North,Widget,29,20,0.1,522.0
2024-01-03,SG-North,Gadget,15,35,0.05,498.75
2024-01-03,SG-North,Doohickey,45,12,0.05,513.0
2024-01-04,SG-East,Widget,25,20,0.0,500.0
2024-01-04,SG-East,Gadget,13,35,0.1,409.5
2024-01-04,SG-East,Doohickey,35,12,0.05,399.0
2024-01-04,SG-West,Widget,21,20,0.0,420.0
2024-01-04,SG-West,Gadget,19,35,0.1,598.5
2024-01-04,SG-West,Doohickey,46,12,0.1,496.8
2024-01-04,SG-North,Widget,26,20,0.1,468.0
2024-01-04,SG-North,Gadget,13,35,0.0,455.0
2024-01-04,SG-North,Doohickey,39,12,0.1,421.2
2024-01-05,SG-East,Widget,24,20,0.0,480.0
2024-01-05,SG-East,Gadget,13,35,0.05,432.25
2024-01-05,SG-East,Doohickey,57,12,0.0,684.0
2024-01-05,SG-West,Widget,22,20,0.0,440.0
2024-01-05,SG-West,Gadget,16,35,0.0,560.0
2024-01-05,SG-West,Doohickey,36,12,0.0,432.0
2024-01-05,SG-North,Widget,19,20,0.15,323.0
2024-01-05,SG-North,Gadget,12,35,0.05,399.0
2024-01-05,SG-North,Doohickey,35,12,0.0,420.0
2024-01-06,SG-East,Widget,27,20,0.0,540.0
2024-01-06,SG-East,Gadget,9,35,0.0,315.0
2024-01-06,SG-East,Doohickey,33,12,0.0,396.0
2024-01-06,SG-West,Widget,28,20,0.0,560.0
2024-01-06,SG-West,Gadget,11,35,0.0,385.0
2024-01-06,SG-West,Doohickey,44,12,0.1,475.2
2024-01-06,SG-North,Widget,19,20,0.0,380.0
2024-01-06,SG-North,Gadget,12,35,0.1,378.0
2024-01-06,SG-North,Doohickey,41,12,0.0,492.0
2024-01-07,SG-East,Widget,33,20,0.0,660.0
2024-01-07,SG-East,Gadget,13,35,0.1,409.5
2024-01-07,SG-East,Doohickey,49,12,0.05,558.6
2024-01-07,SG-West,Widget,17,20,0.1,306.0
2024-01-07,SG-West,Gadget,16,35,0.0,560.0
2024-01-07,SG-West,Doohickey,43,12,0.0,516.0
2024-01-07,SG-North,Widget,26,20,0.05,494.0
2024-01-07,SG-North,Gadget,11,35,0.0,385.0
2024-01-07,SG-North,Doohickey,37,12,0.05,421.8
2024-01-08,SG-East,Widget,31,20,0.0,620.0
2024-01-08,SG-East,Gadget,9,35,0.0,315.0
2024-01-08,SG-East,Doohickey,38,12,0.05,433.2
2024-01-08,SG-West,Widget,30,20,0.0,600.0
2024-01-08,SG-West,Gadget,15,35,0.05,498.75
2024-01-08,SG-West,Doohickey,36,12,0.05,410.4
2024-01-08,SG-North,Widget,20,20,0.15,340.0
2024-01-08,SG-North,Gadget,21,35,0.0,735.0
2024-01-08,SG-North,Doohickey,52,12,0.15,530.4
2024-01-09,SG-East,Widget,22,20,0.1,396.0
2024-01-09,SG-East,Gadget,13,35,0.0,455.0
2024-01-09,SG-East,Doohickey,52,12,0.0,624.0
2024-01-09,SG-West,Widget,17,20,0.15,289.0
